Size,Floor,TotalFloors,CentralHeating,District,Year,Type,BuildingType,Price
295,6,7,ДА,"град София, Център",2019,МЕЗОНЕТ,Тухла,480000
295,8,8,,"град София, Кръстова вада",2021,МЕЗОНЕТ,Тухла,442581
295,1,7,НЕ,"град София, Младост 2",2010,МНОГОСТАЕН,Тухла,233500
295,6,6,,"град София, Кръстова вада",2020,МНОГОСТАЕН,Тухла,324500
295,6,6,НЕ,"град София, Бояна",2018,МНОГОСТАЕН,Тухла,594022
295,6,7,,"град София, Център",2018,4-СТАЕН,Тухла,399725
295,4,5,,"град София, Кръстова вада",2014,4-СТАЕН,Тухла,495000
295,6,7,ДА,"град София, Иван Вазов",2018,4-СТАЕН,Тухла,399725
295,4,5,,"град София, Лозенец",2014,3-СТАЕН,Тухла,495000
295,4,5,ДА,"град София, Кръстова вада",2014,3-СТАЕН,Тухла,495000
295,6,7,ДА,"град София, Център",2017,МЕЗОНЕТ,Тухла,400000
294,4,5,,"град София, Център",2019,МЕЗОНЕТ,Тухла,470000
294,6,7,ДА,"град София, Център",2017,МЕЗОНЕТ,Тухла,400000
294,6,6,НЕ,"град София, Кръстова вада",2020,4-СТАЕН,Тухла,270000
294,6,7,ДА,"град София, Витоша",2014,4-СТАЕН,Тухла,249000
291,6,7,ДА,"град София, Оборище",2019,МНОГОСТАЕН,Тухла,285000
291,5,5,НЕ,"град София, Витоша",2019,3-СТАЕН,Тухла,189000
291,1,5,ДА,"град София, Бояна",2014,МНОГОСТАЕН,Тухла,393000
290,5,7,Прокарва се,"град София, Лозенец",2012,МЕЗОНЕТ,Тухла,465000
290,5,7,Прокарва се,"град София, ж.гр.Южен парк",2012,МЕЗОНЕТ,Тухла,465000
290,5,5,ДА,"град София, Лозенец",2012,МНОГОСТАЕН,Тухла,465000
290,7,7,ДА,"град София, Борово",2021,4-СТАЕН,Тухла,228520
289,6,6,,"град София, Витоша",2020,МЕЗОНЕТ,Тухла,430000
288,6,7,,"град София, Витоша",2004,МЕЗОНЕТ,Тухла,370000
288,9,9,ДА,"град София, Лагера",2021,МНОГОСТАЕН,Тухла,319116
288,6,7,Лок.отопл.,"град София, Витоша",2004,3-СТАЕН,Тухла,370000
287,4,6,ДА,"град София, Оборище",2019,МНОГОСТАЕН,Тухла,459200
287,1,3,НЕ,"град София, Кръстова вада",2020,МНОГОСТАЕН,Тухла,325000
286,3,7,Лок.отопл.,"град София, Център",2020,МНОГОСТАЕН,Тухла,279990
286,8,9,,"град София, Павлово",2021,4-СТАЕН,Тухла,215000
283,3,3,НЕ,"град София, Горна баня",2020,МНОГОСТАЕН,Тухла,171000
280,4,4,,"град София, Оборище",2019,МЕЗОНЕТ,Тухла,462000
280,6,6,НЕ,"град София, Кръстова вада",2018,МЕЗОНЕТ,Тухла,396000
279,5,5,,"град София, Симеоново",2013,МНОГОСТАЕН,Тухла,510000
278,5,7,ДА,"град София, Лозенец",2005,МЕЗОНЕТ,Тухла,359999
278,5,7,ДА,"град София, Лозенец",2005,МНОГОСТАЕН,Тухла,359999
277,5,5,,"град София, Бояна",2014,МНОГОСТАЕН,Тухла,960000
275,5,7,ДА,"град София, Лозенец",2010,МЕЗОНЕТ,Тухла,330000
275,1,4,Лок.отопл.,"град София, Витоша",2008,МЕЗОНЕТ,Тухла,295000
275,3,5,ДА,"град София, Център",1936,МНОГОСТАЕН,Тухла,740000
275,5,7,ДА,"град София, Лозенец",2010,4-СТАЕН,Тухла,360000
274,5,5,Лок.отопл.,"град София, Хаджи Димитър",2019,МЕЗОНЕТ,Тухла,199900
274,1,3,Лок.отопл.,"град София, Бояна",2019,3-СТАЕН,Тухла,287900
