Id,Url,Size,Floor,TotalFloors,CentralHeating,District,Year,Type,BuildingType,Price
139,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159791063456790&slink=603y4k&f1=1,35,5,5,ДА,"град София, Гоце Делчев",2005,1-СТАЕН,Тухла,58500
140,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159437162417930&slink=603y4k&f1=1,35,0,0,ДА,"град София, Гоце Делчев",0,1-СТАЕН,Тухла,61998
141,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159419296298996&slink=603y4k&f1=1,35,5,5,,"град София, Гоце Делчев",2005,1-СТАЕН,Тухла,61999
142,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159827639571808&slink=603y4k&f1=1,35,3,3,,"град София, Карпузица",1992,1-СТАЕН,Тухла,42000
143,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a158098350542753&slink=603y4k&f1=1,35,1,10,ДА,"град София, Лозенец",1998,1-СТАЕН,ЕПК,29900
144,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160105416747300&slink=603y4k&f1=1,35,3,3,,"град София, Лозенец",1943,1-СТАЕН,Тухла,75000
145,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160319289024703&slink=603y4k&f1=1,35,3,3,Лок.отопл.,"град София, Лозенец",0,1-СТАЕН,Тухла,75000
146,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159792522005824&slink=603y4k&f1=1,35,12,14,ДА,"град София, Люлин 4",1984,1-СТАЕН,ЕПК,42000
147,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160067614817334&slink=603y4k&f1=1,35,1,4,,"град София, Малинова долина",2022,1-СТАЕН,Тухла,27650
148,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160103999365023&slink=603y4k&f1=1,35,3,4,,"град София, Малинова долина",0,1-СТАЕН,Тухла,37800
149,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159653466819159&slink=603y4k&f1=1,35,5,5,ДА,"град София, Манастирски ливади",0,1-СТАЕН,Тухла,57900
150,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160042886546017&slink=603y4k&f1=1,35,2,3,,"град София, Модерно предградие",0,1-СТАЕН,Тухла,34100
